"Start time
(EDT)";"Duration";"Run no.";"Run type";"Beam";"Beam energy";"Target";"Shifters";"Comments (given at start of run,
if not otherwise specified)";"Triggers" 
"2023-06-20
16:54:10";"0:20:46";"001";"CALIBRATION";"3a";"-";"P6";EJ, LS, AA, JD, OT;"241Am (~1900 Hz) 244Cm (~428 Hz)
239Pu (~6371 Hz) -- source from
1987, rates corrected for half-life
from safety office source log";"PADS(0)" 
"2023-06-20
17:15:37";"0:09:56";"002";"CALIBRATION";"3a";"-";"P3, P4";EJ, LS, JD, OT;"";"PADS(0)" 
"2023-06-20
17:26:14";"0:04:41";"003";"CALIBRATION";"3a";"-";"P2";EJ, LS, OT;"";"PADS(0)" 
"2023-06-21
16:01:52";"0:47:08";"004";"CALIBRATION";"3a";"-";"P1, U2";EJ, JD, LS, OT;"END-OF-RUN COMMENT BY EJ, JD, LS,
OT: germaniums plugged in during
run. may have to redo, but now a
gamma source is placed close to the
germaniums and we can record that as
well";"DET2(0), PADS(0)" 
"2023-06-21
17:06:32";"0:05:26";"005";"CALIBRATION";"3a";"-";"P1";EJ, AA, LS, OT;"";"PADS(0)" 
"2023-06-21
18:48:23";"1:43:52";"006";"CALIBRATION";"3a";"-";"U1, U2";EJ, AA, LS, OT;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0)" 
"2023-06-21
20:32:48";"0:15:17";"007";"CALIBRATION";"3a";"-";"U3, U4";EJ, AA, LS, OT;"END-OF-RUN COMMENT BY EJ, AA, LS,
OT: forgot about gain, shaping time,
pole zero. stopping";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0)" 
"2023-06-21
21:37:56";"0:19:40";"008";"CALIBRATION";"3a";"-";"U1, U2";EJ, AA, OT;"All shapes except for germaniums
have now been configured. See elog
entry #51";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0)" 
"2023-06-21
21:58:28";"0:19:16";"009";"CALIBRATION";"3a";"-";"U3, U4";EJ, OT;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0)" 
"2023-06-21
22:19:54";"0:34:42";"010";"CALIBRATION";"3a";"-";"U5";EJ, OT;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0)" 
"2023-06-21
22:56:13";"0:22:09";"011";"CALIBRATION";"3a";"-";"U6";EJ, OT;"";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0)" 
"2023-06-21
23:27:23";"0:14:52";"012";"PULSER";"Pulser";"-";"U6";EJ, OT;"END-OF-RUN COMMENT BY EJ, OT: 3a
source in chamber also, pointing at
U6";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0)" 
"2023-06-22
17:01:59";"0:03:14";"013";"CALIBRATION";"152Eu";"-";"HPGES";EJ, LS, JD, OT;"Energy calibration. Source placed on
top of chamber between two
germaniums";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-22
17:20:16";"0:37:22";"014";"CALIBRATION";"152Eu";"-";"HPGES";EJ, LS, OT;"Resuming energy calibration --
stopped briefly due to gas cell guys
wanting to discuss iminent stable
beam tuning. Source placed on top of
chamber between two germaniums.
EXTRA COMMENT 2.9 MINUTES INTO RUN
BY EJ, LS, OT: Pulser had been left
on throughout previous two germanium
calibration runs";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-22
18:01:07";"0:31:00";"015";"CALIBRATION";"152Eu";"-";"HPGES";EJ, LS, OT;"Increased the gain on the HPGE
shaper to optimize the dynamic range
to go roughly to 3 MeV. 121 keV
152Eu line is now equally intense in
both detectors.";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-22
18:37:29";"0:01:14";"016";"TEST";"-";"-";"-";EJ, OT;"Lowered ADC thresholds to 10 on all
channels on all modules to find
individual ADC thresholds.
END-OF-
RUN COMMENT BY EJ, OT: Lowered ADC
thresholds to 10 on all channels on
all modules to find individual ADC
thresholds.";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-22
19:19:56";"0:00:19";"017";"TEST";"-";"-";"-";EJ, OT;"Preliminary ADC thresholds set. Some
still need a bit of tweaking
END-OF-
RUN COMMENT BY EJ, OT: Preliminary
ADC thresholds set. Some still need
a bit of tweaking";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-22
20:22:19";"N/A";" ";" ";"-";"-";"-";EJ, LS, OT;"IN-BETWEEN-RUN COMMENT: Disregard
the previous run and the comments on
it! The ADC thresholds were
determined from unpacked data, and
the unpacked data mixes up the
channel orderings (by design)";"" 
"2023-06-22
20:23:04";"0:00:02";"018";"CALIBRATION";"Background";"-";"HPGES";EJ, LS, OT;"Done optimizing ADC thresholds and
trigger thresholds on all detectors.
Starting a background run.
END-OF-
RUN COMMENT BY EJ, LS, OT: Done
optimizing ADC thresholds and
trigger thresholds on all detectors.
Starting a background run.";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-22
20:23:21";"0:23:26";"019";"CALIBRATION";"Background";"-";"HPGES";EJ, LS, OT;"Done optimizing ADC thresholds and
trigger thresholds on all detectors.
Starting a background run.
END-OF-
RUN COMMENT BY EJ, LS, OT: Done
optimizing ADC thresholds and
trigger thresholds on all detectors.
Starting a background run.";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-22
20:49:26";"N/A";" ";" ";"-";"-";"-";EJ, LS, OT;"IN-BETWEEN-RUN COMMENT: We refrain
from leaving the germaniums
unsupervised overnight. Stopping the
background run";"" 
"2023-06-23
16:27:35";"0:01:55";"020";"PULSER";"Pulser";"-";"Silicons";CW, LS, JD, LW, MM, JSN, EJ, HF;"EXTRA COMMENT 1.2 MINUTES INTO RUN
BY CW, LS, JD, LW, MM, JSN, EJ, HF:
TDC alignment run with pulser on all
detectors. 1 kHz, Amplitude 0.2 V
(1000), rise time 10 ns, tau 40 us.
Delay between ch0 and ch1 16 ns.";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-23
16:37:10";"0:49:29";"021";"CALIBRATION";"152Eu";"-";"HPGES";CW, LS, JD, LW, MM, JSN, EJ, HF;"Source on top of tube (to very high
precision!) between two germaniums";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-23
17:27:56";"16:27:51";"022";"CALIBRATION";"Background";"-";"HPGES";LS, LW, MM, JSN, EJ, HF;"long run overnight";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-24
15:14:19";"8:43:33";"023";"CALIBRATION";"Background";"-";"HPGES";MM, JSN, EJ, HF;"EXTRA COMMENT 1.0 MINUTES INTO RUN
BY MM, JSN, EJ, HF: work on network
connectivity has been carried out
and we are now resuming a background
run on the germaniums (all triggers
enabled)";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-25
00:00:24";"0:11:54";"024";"RUN";"25Al";"30 keV";"C";EJ, CS, SS;"Chandana and Stefan has optimised
the beam to a point where they want
to try to get it into the chamber.
26Si contimant in beam also. Our
Faraday cup is in the chamber and is
intended to stay there for the
entire experiment.";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
"2023-06-25
00:27:48";"N/A";" ";" ";"-";"-";"-";EJ, CS, SS;"IN-BETWEEN-RUN COMMENT: Stopped the
run after 12 minutes.
We were
looking specifically for gamma lines
with energies 829 (26Si), 1611
(25Al) and 1622 (26Si) keV in our
online analysis, as Stefan and
Chandana have seen these lines in
their gamma detector just after the
mass separating magnet.
The lines
were not sufficiently intense in our
gamma singles spectra.
We can do
beta-gated gammas on the recorded
data offline tomorrow, give Stefan
and Chandana a rough measure of the
yield and then implement the offline
analysis in our online analysis so
we have this type of measure ready
when 22Al comes around.";" " 
"2023-06-25
09:58:45";"8:57:10";"025";"CALIBRATION";"Background";"-";"-";JSN, HF, MM;"Background run
EXTRA COMMENT 20.3
MINUTES INTO RUN BY JSN, HF, MM:
Background run
END-OF-RUN COMMENT BY
LS, EJ: Stop file to unbias and
rebias germaniums due to remote
control comms issue";"DET1(0), DET2(0), DET3(0), DET4(0),
DET5(0), DET6(0), PADS(0), HPGE(0)" 
